Symbol 1,Symbol 2,APR,SHARPE,price
BLK,CB,-0.037781439620313106,-0.23499726468742602,-837.4556821052632
LMT,TXN,-0.03765057929402693,-0.16743129511270632,-593.0057652631579
ADI,PFE,-0.0375636611244583,-0.1402851037604547,-208.21681368421054
C,CVX,-0.03745060319580806,-0.2026645304667028,-218.02263157894737
QCOM,WFC,-0.0373666478775333,-0.048981478755102094,-175.23073263157892
CME,SCHW,-0.03718853280607248,-0.2083459131212911,-266.2381305263158
GS,NOC,-0.03675821473278973,-0.15623997533939252,-767.854837368421
RTX,UNH,-0.03663894116157829,-0.1927315033619168,-577.671592631579
TMUS,UNH,-0.036370804214210684,-0.22764631101575303,-615.3073821052632
CVS,MSFT,-0.03546077964488137,-0.14396580819132754,-354.3821052631579
ACN,NOC,-0.03540496501031409,-0.17784979425104624,-755.7357126315788
BDX,TXN,-0.03528402571456313,-0.14767328458345913,-409.619662631579
UNH,VZ,-0.035255633602573,-0.2682758250068877,-533.8536978947369
CCI,UNH,-0.034964764279383,-0.23307968438699475,-657.5562163157895
ADP,MMM,-0.034832492076346644,-0.25729451184929225,-353.38129684210526
ADP,CRM,-0.03481809293175153,-0.08577581806344067,-386.40182315789474
CVX,MO,-0.03471352922287896,-0.16815912916770667,-217.1443937894737
ADI,VRTX,-0.034232839353564026,-0.10421775491910686,-422.4626031578947
AVGO,QCOM,-0.03375632677344387,-0.19828202837118997,-670.7006331578948
CVS,MDLZ,-0.03374521297111255,-0.24543897559261635,-154.87947368421052
CME,SBUX,-0.03366362260615596,-0.16629406649617895,-276.76234105263154
ACN,LMT,-0.03354465721399691,-0.17347899833422192,-721.2583968421052
AMD,CVS,-0.03345401516970148,-0.037275401428243114,-188.48578947368418
ANTM,CMCSA,-0.03332894999783098,-0.15357261352394913,-524.0742242105264
LIN,UNH,-0.033237204401365794,-0.22561794777761607,-796.6390126315789
AXP,NOW,-0.033149027772635176,-0.02537934325077387,-628.1773684210526
BAC,CRM,-0.03308936164035736,-0.032855818327763076,-207.57528715789476
BLK,T,-0.03304132660374903,-0.18069707192749193,-656.5166631578949
AMZN,AXP,-0.033025361242803974,-0.060666958626784916,-270.3436052631579
AVGO,C,-0.032779079806267486,-0.08719572186252258,-587.0888478947369
AMD,ANTM,-0.03267892043492904,-0.019577347889037165,-577.4547505263158
DUK,PFE,-0.03238728725218498,-0.16525861753220117,-157.6921052631579
CVX,ZTS,-0.03228359030556127,-0.08996994011785295,-333.8731578947369
AXP,MDT,-0.03206728981943063,-0.1396545930279203,-249.1562657368421
CME,TXN,-0.03205582158744602,-0.15128843209386775,-364.0191831578947
CVS,NOW,-0.03192020976214982,-0.046543048672338445,-565.3747368421052
MDT,NOC,-0.031904207660239825,-0.1565230447112372,-557.2103994210526
ADP,AMZN,-0.031863305260990904,-0.11690687720996122,-327.08227052631577
BLK,VZ,-0.031852200999800795,-0.20689955757580647,-686.6687684210527
CVS,SPGI,-0.03184564010805835,-0.15039123651761743,-427.34210526315786
MA,PFE,-0.03180108131541126,-0.08823774253734043,-390.42315789473685
PYPL,SPGI,-0.03174423846523611,-0.048554049064342,-413.7026315789473
CSCO,VRTX,-0.031709592345229964,-0.09631282740201844,-309.51157894736843
PLD,VRTX,-0.03162324560144758,-0.12340490635230114,-384.8003175263158
AAPL,ANTM,-0.031521691666095975,-0.08972214934032036,-623.7189610526316
NOW,UNH,-0.031206044316472892,-0.08051566936123906,-954.9331715789474
ABT,CVX,-0.03103215928578118,-0.08409328092682396,-279.0126315789474
PFE,UNP,-0.03082752082750928,-0.12179051138594411,-267.00024105263157
ANTM,TXN,-0.030616929567225726,-0.11835495068261688,-645.5952768421052
AMZN,CVX,-0.03041394426206412,-0.048691107488927216,-282.2509736842105
CVX,V,-0.030310090606593842,-0.09897287337930497,-371.6873684210526
LIN,VRTX,-0.030251919370681946,-0.11833018182493024,-578.606367368421
ISRG,PYPL,-0.030050378930130517,-0.03577818612813266,-289.36315789473684
AMT,CVS,-0.029893933565012687,-0.11814877819142348,-345.43476894736847
MS,PYPL,-0.029724032525636823,-0.016728404671400667,-159.9821052631579
C,JPM,-0.029411389706393676,-0.30396983064161986,-172.55421052631579
SPGI,UNH,-0.029159577661717728,-0.19917282658242547,-816.90054
ISRG,NOC,-0.02886087382213709,-0.0669228986508955,-673.8593968421053
BMY,GE,-0.02867330979238547,-0.08787067877867234,-147.6463157894737
ADI,AVGO,-0.02860650479768878,-0.23803945165880996,-694.71303
BA,CVX,-0.028571903793963904,-0.057639174734120106,-301.598947368421
MMM,PFE,-0.02825824026844348,-0.12383655593828291,-191.12000000000003
ANTM,GS,-0.02813378867706562,-0.10706446872092557,-785.9670331578948
CVS,MO,-0.028090889499622684,-0.15216898597105866,-142.4343937894737
NFLX,UNH,-0.02806881759396518,-0.024256860357030004,-670.1868557894737
HON,RTX,-0.027986660199533886,-0.2220956085843136,-282.7757894736842
CME,GE,-0.0279540928464036,-0.07574695471955392,-273.4018147368421
ABT,AVGO,-0.027606836548129676,-0.1004318763681498,-648.0788478947369
CVX,ORCL,-0.027592299067699555,-0.06709146091577313,-238.2868421052632
CMCSA,RTX,-0.027568985984683714,-0.13795227845450306,-135.96263157894737
BLK,CI,-0.0275451051342549,-0.13699249549566894,-892.3989894736844
MDT,RTX,-0.027403823003420924,-0.17062362522782895,-187.2110025789474
BAC,NFLX,-0.027400479124623844,0.013593422787405291,-221.34318189473686
ADP,NFLX,-0.027149940838188225,-0.02070236480161674,-400.16971789473683
PFE,SBUX,-0.027126739727037386,-0.07713419531289172,-126.64947368421053
GS,VRTX,-0.02706718326934965,-0.04803394768736444,-568.5238615789474
BAC,NOC,-0.026833008645913647,-0.09454685137290006,-498.8273155789473
BLK,WMT,-0.026734820978414953,-0.13553985715492817,-759.0692947368423
CVX,LOW,-0.02657593313273232,-0.05189205559959181,-354.85578947368424
AXP,WMT,-0.025576807122247747,-0.035630534786477555,-279.49842105263156
IBM,UNH,-0.025518352260296084,-0.12262892825526146,-621.52054
MCD,PFE,-0.025118347339313285,-0.09541108717449112,-294.4533
CI,JPM,-0.024825025177145243,-0.08738677715905259,-379.26706315789477
C,CB,-0.02467914509981306,-0.14421104502399476,-251.1390189473684
LMT,MCD,-0.024612374092251144,-0.14142889453028562,-673.5527494736842
CAT,WFC,-0.024319899636992326,-0.07494749238653385,-252.23421052631576
CVX,TMO,-0.024199938042560154,-0.02495228666806041,-705.5018642105265
PYPL,TMO,-0.024067693287743053,-0.01271824641037564,-617.1523905263159
NKE,RTX,-0.023994989076118967,-0.07679933686991837,-209.0971717894737
INTU,T,-0.023969451685254217,-0.04274064706699453,-415.51842105263165
CVX,SO,-0.023953996758847684,-0.09118132346234405,-240.04157894736844
IBM,ISRG,-0.02376349679893852,-0.049645611899481724,-347.70894736842104
CVS,RTX,-0.023682663059896858,-0.10346247638537408,-188.11315789473684
ACN,CVS,-0.02353832576026127,-0.11424140530117027,-384.878947368421
AVGO,CVX,-0.02349613829122077,-0.042127326319774595,-705.7420057894738
NKE,XOM,-0.023493369901734673,-0.01706519557609829,-210.5761191578947
MDT,UNH,-0.023412503215088365,-0.13821367312045532,-575.9120688947369
CMCSA,VZ,-0.023204779556600608,-0.15294565976249347,-92.14473684210526
AXP,TXN,-0.023181865947818014,-0.04314347047562329,-319.42894736842106
LMT,PLD,-0.02316727346460834,-0.10085138663172678,-549.6539775263158
NOC,UNH,-0.022976453604799274,-0.1080377056572391,-947.6709894736841
PM,UNP,-0.022935173466526182,-0.13217005372540278,-318.8155042105263
MO,PFE,-0.022883090633385894,-0.0634120018596249,-99.71439378947369
